route_id,stop_name
9180,Karolina út
9400,Karolina út
9070,Karolina út
9722,Károly király utca
9400,Károly király utca
9720,Károly király utca
9230,Kaszásdűlő
9340,Kaszásdűlő
9722,Katona József utca
9720,Katona József utca
9180,Kelenföld vasútállomás
9010,Kelenföld vasútállomás
9070,Kelenföld vasútállomás
9720,Kelenföldi autóbuszgarázs
9410,Kelenföldi autóbuszgarázs
9722,Kelenföldi autóbuszgarázs
9080,Kelenföldi autóbuszgarázs
9400,Kelenföldi autóbuszgarázs
9730,Keleti pályaudvar
9310,Keleti pályaudvar
9070,Keleti pályaudvar
9900,Keleti pályaudvar
9560,Keleti pályaudvar
9080,Keleti pályaudvar
9500,Kemény Zsigmond utca
9501,Kemény Zsigmond utca
9560,Keresztúri út
9900,Keresztúri út
9680,Keresztúri út
9600,Kert sor
9430,Kert sor
9501,Kétújfalu utca
9500,Kétújfalu utca
9560,Kis utca
9900,Kis utca
9680,Kis utca
9340,Kiscelli utca
9230,Kiscelli utca
9720,Kisfaludy utca
9500,Kisfaludy utca
9400,Kisfaludy utca
