stop_id,stop_name,stop_lat,stop_lon,stop_code,location_type,parent_station,wheelchair_boarding,stop_direction
F02744,Egressy út /ungária körút,47.506744,19.104445000000002,,,,1.0,142.0
F02745,Jeszenák János utca,47.511922,19.124682,,,,1.0,133.0
F02746,Róna utca,47.506194,19.12332,,,,2.0,-129.0
F02747,Róna utca,47.506167,19.123638,,,,2.0,51.0
F02748,Pongrátz Gergely tér,47.509482,19.128992999999998,,,,1.0,128.0
F02749,Pongrátz Gergely tér,47.509761,19.128316,,,,1.0,132.0
F02750,Pongrátz Gergely tér,47.509096,19.128501,,,,1.0,-129.0
F02751,Pongrátz Gergely tér,47.508916,19.128567,,,,1.0,51.0
F02752,Pongrátz Gergely tér,47.509167,19.129535999999998,,,,1.0,-49.0
F02753,Pongrátz Gergely tér,47.50933,19.129448999999997,,,,1.0,-49.0
F02754,Bánki Donát utca,47.506078,19.134443,,,,1.0,133.0
F02755,Örs vezér tere,47.504404,19.136551,,,,1.0,164.0
F02756,Örs vezér tere,47.504674,19.136485,,,,2.0,163.0
F02757,Örs vezér tere,47.504881,19.136419,,,,2.0,-179.0
F02758,Örs vezér tere,47.505123,19.136353,,,,2.0,166.0
F02759,Örs vezér tere,47.504898,19.136843,,,,2.0,-7.0
F02760,Örs vezér tere,47.505132,19.136777,,,,2.0,-32.0
F02761,Örs vezér tere,47.504727,19.136882999999997,,,,2.0,-16.0
F02762,Örs vezér tere,47.504556,19.136936,,,,2.0,-15.0
F02763,Örs vezér tere,47.504277,19.137042,,,,2.0,-39.0
F02764,Örs vezér tere,47.504008,19.136656,,,,2.0,153.0
F02765,Álmos vezér útja,47.507333,19.140564,,,,1.0,-136.0
F02766,Álmos vezér útja,47.507108,19.140723,,,,1.0,46.0
F02767,Füredi utca / Ond vezér útja,47.506343,19.141213,,,,1.0,-88.0
F02768,Füredi utca / Ond vezér útja,47.50636,19.142155,,,,1.0,80.0
F02769,Ond vezér park,47.506473,19.147185999999998,,,,1.0,-99.0
F02770,Ond vezér park,47.506221999999994,19.146164000000002,,,,1.0,82.0
F02771,Ond vezér útja / Szentmihályi út,47.507477,19.150348,,,,1.0,-31.0
F02772,Ond vezér útja / Szentmihályi út,47.507459999999995,19.150188,,,,1.0,149.0
F02773,Vezér utca,47.509822,19.143197,,,,1.0,-46.0
F02774,Füredi utca,47.509498,19.14309,,,,1.0,133.0
F02775,Füredi utca / Szentmihályi út,47.510889,19.147261,,,,1.0,-30.0
F02776,Füredi utca / Szentmihályi út,47.510637,19.147247,,,,1.0,144.0
F02777,Csertő utca,47.513309,19.14623,,,,1.0,175.0
F02778,Csertő utca,47.513003000000005,19.146468,,,,1.0,-10.0
F02779,Csertő utca,47.51312,19.146495,,,,1.0,-84.0
F02780,Zsálya utca,47.515938,19.142916,,,,1.0,-99.0
F02781,Zsálya utca,47.516135999999996,19.143195000000002,,,,1.0,140.0
F02782,Zsálya utca,47.51583,19.143725,,,,1.0,-36.0
F02783,Fischer István utca,47.515329,19.139861,,,,1.0,48.0
