service_id,date,exception_type
B99619APPMAA-011,20210115,1
B99619APPMAA-011,20210122,1
B99619APPMAA-011,20210129,1
B99667K1HPHB-0031,20201221,1
B99667K1HPHB-0031,20201222,1
B99667K1HPHB-0031,20201223,1
C00029K1VCKZ-0011,20201220,1
C00029K1VCKZ-0011,20201221,1
C00029K1VCKZ-0011,20201222,1
C00438ASZKZ-0011,20201219,1
C00438ASZKZ-0011,20210102,1
C00438ASZKZ-0011,20210109,1
C00438ASZKZ-0011,20210116,1
C00438ASZKZ-0011,20210123,1
C00438ASZKZ-0011,20210130,1
C00440AVVKZ-0011,20201213,1
C00440AVVKZ-0011,20201220,1
C00440AVVKZ-0011,20201227,1
C00440AVVKZ-0011,20210101,1
C00440AVVKZ-0011,20210103,1
C00440AVVKZ-0011,20210110,1
C00440AVVKZ-0011,20210117,1
C00440AVVKZ-0011,20210124,1
C00440AVVKZ-0011,20210131,1
C02051AHPRG-0021,20201214,1
C02051AHPRG-0021,20201215,1
C02051AHPRG-0021,20201216,1
C02051AHPRG-0021,20201217,1
C02051AHPRG-0021,20201218,1
C02051AHPRG-0021,20210104,1
C02051AHPRG-0021,20210105,1
C02051AHPRG-0021,20210106,1
C02051AHPRG-0021,20210107,1
C02051AHPRG-0021,20210108,1
C02051AHPRG-0021,20210111,1
C02051AHPRG-0021,20210112,1
C02051AHPRG-0021,20210113,1
C02051AHPRG-0021,20210114,1
C02051AHPRG-0021,20210115,1
C02051AHPRG-0021,20210118,1
C02051AHPRG-0021,20210119,1
C02051AHPRG-0021,20210120,1
C02051AHPRG-0021,20210121,1
C02051AHPRG-0021,20210122,1
C02051AHPRG-0021,20210125,1
C02051AHPRG-0021,20210126,1
C02051AHPRG-0021,20210127,1
C02051AHPRG-0021,20210128,1
C02051AHPRG-0021,20210129,1
C02051AHPRG-0021,20210201,1
C02153AVVMAA-071,20201225,1
C02153AVVMAA-071,20201226,1
C02153AVVMAA-071,20201227,1
C02153AVVMAA-071,20210101,1
C03424AHCRM-0011,20201214,1
C03424AHCRM-0011,20201215,1
C03424AHCRM-0011,20201216,1
C03424AHCRM-0011,20201217,1
C03424AHCRM-0011,20210104,1
C03424AHCRM-0011,20210105,1
C03424AHCRM-0011,20210106,1
C03424AHCRM-0011,20210107,1
C03424AHCRM-0011,20210111,1
C03424AHCRM-0011,20210112,1
C03424AHCRM-0011,20210113,1
C03424AHCRM-0011,20210114,1
C03424AHCRM-0011,20210118,1
C03424AHCRM-0011,20210119,1
C03424AHCRM-0011,20210120,1
C03424AHCRM-0011,20210121,1
C03424AHCRM-0011,20210125,1
C03424AHCRM-0011,20210126,1
C03424AHCRM-0011,20210127,1
C03424AHCRM-0011,20210128,1
C03424AHCRM-0011,20210201,1
C03425APPRM-0011,20201218,1
C03425APPRM-0011,20210108,1
C03425APPRM-0011,20210115,1
C03425APPRM-0011,20210122,1
C03425APPRM-0011,20210129,1
C03427AVVRM-0011,20201225,1
C03427AVVRM-0011,20201226,1
C03427AVVRM-0011,20201227,1
C03427AVVRM-0011,20210101,1
C03427AVVRM-0011,20210103,1
C03427AVVRM-0011,20210110,1
C03427AVVRM-0011,20210117,1
C03427AVVRM-0011,20210124,1
C03427AVVRM-0011,20210131,1
C03471K1HPRM-0011,20201221,1
C03471K1HPRM-0011,20201222,1
C03471K1HPRM-0011,20201223,1
C03471K1HPRM-0011,20201228,1
C03471K1HPRM-0011,20201229,1
C03471K1HPRM-0011,20201230,1
C03471K1HPRM-0011,20201231,1
C03636ASVHB-0131,20201213,1
C03636ASVHB-0131,20201219,1
C03636ASVHB-0131,20201220,1
C03636ASVHB-0131,20201225,1
C03636ASVHB-0131,20201226,1
C03636ASVHB-0131,20201227,1
C03636ASVHB-0131,20210101,1
C03637ASVHB-0131,20201213,1
C03637ASVHB-0131,20201219,1
C03637ASVHB-0131,20201220,1
C03637ASVHB-0131,20201225,1
C03637ASVHB-0131,20201226,1
C03637ASVHB-0131,20201227,1
C03637ASVHB-0131,20210101,1
C04183AHPMAA-011,20201214,1
C04183AHPMAA-011,20201215,1
C04183AHPMAA-011,20201216,1
C04183AHPMAA-011,20201217,1
C04183AHPMAA-011,20201218,1
C04183AHPMAA-011,20201221,1
C04183AHPMAA-011,20201222,1
C04183AHPMAA-011,20201223,1
C04183AHPMAA-011,20201228,1
C04183AHPMAA-011,20201229,1
C04183AHPMAA-011,20201230,1
C04183AHPMAA-011,20201231,1
C04183AHPMAA-011,20210104,1
C04183AHPMAA-011,20210105,1
C04183AHPMAA-011,20210106,1
C04183AHPMAA-011,20210107,1
C04183AHPMAA-011,20210108,1
C04183AHPMAA-011,20210111,1
C04183AHPMAA-011,20210112,1
C04183AHPMAA-011,20210113,1
C04183AHPMAA-011,20210114,1
C04183AHPMAA-011,20210115,1
C04183AHPMAA-011,20210118,1
C04183AHPMAA-011,20210119,1
C04183AHPMAA-011,20210120,1
C04183AHPMAA-011,20210121,1
C04183AHPMAA-011,20210122,1
C04183AHPMAA-011,20210125,1
C04183AHPMAA-011,20210126,1
C04183AHPMAA-011,20210127,1
C04183AHPMAA-011,20210128,1
C04183AHPMAA-011,20210129,1
C04183AHPMAA-011,20210201,1
C04184ASVMAA-011,20201213,1
C04184ASVMAA-011,20201219,1
C04184ASVMAA-011,20201220,1
C04184ASVMAA-011,20201225,1
C04184ASVMAA-011,20201226,1
C04184ASVMAA-011,20201227,1
C04184ASVMAA-011,20210101,1
C04184ASVMAA-011,20210102,1
C04184ASVMAA-011,20210103,1
C04184ASVMAA-011,20210109,1
C04184ASVMAA-011,20210110,1
C04184ASVMAA-011,20210116,1
C04184ASVMAA-011,20210117,1
C04184ASVMAA-011,20210123,1
C04184ASVMAA-011,20210124,1
C04184ASVMAA-011,20210130,1
C04184ASVMAA-011,20210131,1
C04328ÜNVVLA-0021,20201225,1
C04328ÜNVVLA-0021,20201226,1
C04430EVVHCKMK-011,20201228,1
C04430EVVHCKMK-011,20201229,1
C04430EVVHCKMK-011,20201230,1
